spacer_mm,leg,pose,spin_deg,gap_mm,collision
16,front_r,neutral,40.0,30.611808454141716,False
16,front_r,neutral,42.0,30.10321425437412,False
16,front_r,neutral,44.0,29.618185281034155,False
16,front_r,neutral,46.0,29.1367958698151,False
16,front_r,neutral,48.0,28.6438392621628,False
16,front_r,neutral,50.0,28.14797265464097,False
16,front_r,neutral,52.0,27.659980763436764,False
16,front_r,neutral,54.0,27.165414888079923,False
16,front_r,neutral,56.0,26.663561801554373,False
16,front_r,neutral,58.0,26.168800860311322,False
16,front_r,neutral,60.0,25.677106683190676,False
16,front_r,neutral,62.0,25.181626078600004,False
16,front_r,neutral,64.0,24.68889614144635,False
16,front_r,neutral,66.0,24.204848515116687,False
16,front_r,neutral,68.0,23.73324969461162,False
16,front_r,neutral,70.0,23.270417656753757,False
16,front_r,neutral,72.0,22.814948357885875,False
16,front_r,neutral,74.0,22.36771684252691,False
16,front_r,neutral,76.0,21.92299511188163,False
16,front_r,neutral,78.0,21.48710169271357,False
16,front_r,neutral,80.0,21.060934013099025,False
16,front_r,neutral,82.0,20.63738627197383,False
16,front_r,neutral,84.0,20.216619921960934,False
16,front_r,neutral,86.0,19.800102845019225,False
16,front_r,neutral,88.0,19.395288790388506,False
16,front_r,neutral,90.0,19.006784841720354,False
16,front_r,neutral,92.0,18.63498284541238,False
16,front_r,neutral,94.0,18.28007999947521,False
16,front_r,neutral,96.0,17.942186429667075,False
16,front_r,neutral,98.0,17.62162579998085,False
16,front_r,neutral,100.0,17.312434781513094,False
16,front_r,neutral,102.0,17.01212074951961,False
16,front_r,neutral,104.0,16.721485141704697,False
16,front_r,neutral,106.0,16.441311213366077,False
16,front_r,neutral,108.0,16.172364213422718,False
16,front_r,neutral,110.0,15.80084541963147,False
16,front_r,neutral,112.0,15.394761887375159,False
16,front_r,neutral,114.0,14.997069384574521,False
16,front_r,neutral,116.0,14.612586167450651,False
16,front_r,neutral,118.0,14.251535722914843,False
16,front_r,neutral,120.0,13.91480656247261,False
16,front_r,neutral,122.0,13.599627432719718,False
16,front_r,neutral,124.0,13.292400318662132,False
16,front_r,neutral,126.0,12.992290417786418,False
16,front_r,neutral,128.0,12.700013889309965,False
16,front_r,neutral,130.0,12.41690990872217,False
16,front_r,neutral,132.0,12.14629885279017,False
16,front_r,neutral,134.0,11.89901364127531,False
16,front_r,neutral,136.0,11.6771145478504,False
16,front_r,neutral,138.0,11.478972921153389,False
16,front_r,neutral,140.0,11.297908240999579,False
16,front_r,neutral,142.0,11.126736478688434,False
16,front_r,neutral,144.0,10.965949150354438,False
16,front_r,neutral,146.0,10.816063383065831,False
16,front_r,neutral,148.0,10.677560557410544,False
16,front_r,neutral,150.0,10.550938197645719,False
16,front_r,neutral,152.0,10.436658544584938,False
16,front_r,neutral,154.0,10.33744658658537,False
16,front_r,neutral,156.0,10.25511982330557,False
16,front_r,neutral,158.0,10.188662292562658,False
16,front_r,neutral,160.0,10.137175881778273,False
16,front_r,neutral,162.0,10.099914760624555,False
16,front_r,neutral,164.0,10.078679572147992,False
16,front_r,neutral,166.0,10.07421987685316,False
16,front_r,neutral,168.0,10.082934388204363,False
16,front_r,neutral,170.0,10.104964487880322,False
16,front_r,neutral,172.0,10.141863998320986,False
16,front_r,neutral,174.0,10.16087806430574,False
16,front_r,neutral,176.0,10.17773049478807,False
16,front_r,neutral,178.0,10.169538843330473,False
16,front_r,neutral,180.0,10.165036292958574,False
16,front_r,neutral,182.0,10.131442591718418,False
16,front_r,neutral,184.0,10.104585251934182,False
16,front_r,neutral,186.0,10.051602153292496,False
16,front_r,neutral,188.0,10.000319862405366,False
16,front_r,neutral,190.0,9.931059352176359,False
16,front_r,neutral,192.0,9.859557894882567,False
16,front_r,neutral,194.0,9.77875543879546,False
16,front_r,neutral,196.0,9.69325858217693,False
16,front_r,neutral,198.0,9.601844367315378,False
16,front_r,neutral,200.0,9.502569858572505,False
16,front_r,neutral,202.0,9.396660075260916,False
16,front_r,neutral,204.0,9.284633336777208,False
16,front_r,neutral,206.0,9.1863576467138,False
16,front_r,neutral,208.0,9.301938862385395,False
16,front_r,neutral,210.0,9.460855646532378,False
16,front_r,neutral,212.0,9.632677658515625,False
16,front_r,neutral,214.0,9.82249045797996,False
16,front_r,neutral,216.0,10.028878899441091,False
16,front_r,neutral,218.0,10.247837283486223,False
16,front_r,neutral,220.0,10.479291667367068,False
16,front_r,neutral,222.0,10.728921047434184,False
16,front_r,neutral,224.0,11.002957706951348,False
16,front_r,neutral,226.0,11.300870620249443,False
16,front_r,neutral,228.0,11.621860434465077,False
16,front_r,neutral,230.0,11.964891047426043,False
16,front_r,neutral,232.0,12.328722713059085,False
16,front_r,neutral,234.0,12.709260102079801,False
16,front_r,neutral,236.0,13.100871731823242,False
16,front_r,neutral,238.0,13.50282028009714,False
16,front_r,neutral,240.0,13.914411872817192,False
16,front_r,neutral,242.0,14.33489812392847,False
16,front_r,neutral,244.0,14.765970309691971,False
16,front_r,neutral,246.0,15.209159181283326,False
16,front_r,neutral,248.0,15.662251385134766,False
16,front_r,neutral,250.0,16.115122498841213,False
16,front_r,neutral,252.0,16.576879096197985,False
16,front_r,neutral,254.0,17.05041972547729,False
16,front_r,neutral,256.0,17.528692645263504,False
16,front_r,neutral,258.0,18.009765290777775,False
16,front_r,neutral,260.0,18.49185860657818,False
16,front_r,neutral,262.0,18.975448574165803,False
16,front_r,neutral,264.0,19.298082943178446,False
16,front_r,neutral,266.0,19.60690713225847,False
16,front_r,neutral,268.0,19.931277544418045,False
16,front_r,neutral,270.0,20.27070281845674,False
16,front_r,neutral,272.0,20.62462860516984,False
16,front_r,neutral,274.0,20.992436559135847,False
16,front_r,neutral,276.0,21.37344631505685,False
16,front_r,neutral,278.0,21.766920154521646,False
16,front_r,neutral,280.0,22.172060593428736,False
16,front_r,neutral,282.0,22.588017139926603,False
16,front_r,neutral,284.0,23.013892796576318,False
16,front_r,neutral,286.0,23.448743916030544,False
16,front_r,neutral,288.0,23.892187482964637,False
16,front_r,neutral,290.0,24.3452699236064,False
16,front_r,neutral,292.0,24.80692542784901,False
16,front_r,neutral,294.0,25.274757961453457,False
16,front_r,neutral,296.0,25.7479758396195,False
16,front_r,neutral,298.0,26.225862560178633,False
16,front_r,neutral,300.0,26.707557424750537,False
16,front_r,neutral,302.0,27.191107083584697,False
16,front_r,neutral,304.0,27.675204650892493,False
16,front_r,neutral,306.0,28.158701100323697,False
16,front_r,neutral,308.0,28.640936757390488,False
16,front_r,neutral,310.0,29.123222793131305,False
16,front_r,neutral,312.0,29.605223147920906,False
16,front_r,neutral,314.0,30.086369543068248,False
16,front_r,neutral,316.0,30.568874842046654,False
16,front_r,neutral,318.0,31.048130751488138,False
16,front_r,neutral,320.0,31.52051399363264,False
16,front_r,neutral,322.0,32.05392644979433,False
16,front_r,neutral,324.0,32.64346039505228,False
16,front_r,neutral,326.0,33.286650610148484,False
16,front_r,neutral,328.0,33.88013221333735,False
16,front_r,neutral,330.0,34.449638726527134,False
16,front_r,neutral,332.0,34.975823694233526,False
16,front_r,neutral,334.0,35.46663697793337,False
16,front_r,neutral,336.0,35.93456237780683,False
16,front_r,neutral,338.0,36.34549493098623,False
16,front_r,neutral,340.0,36.71703263990282,False
16,front_r,neutral,342.0,37.04896796203135,False
16,front_r,neutral,344.0,37.342625894996694,False
16,front_r,neutral,346.0,37.59250775204166,False
16,front_r,neutral,348.0,37.83269383280623,False
16,front_r,neutral,350.0,38.00982587621013,False
16,front_r,neutral,352.0,38.185170140926935,False
16,front_r,neutral,354.0,38.29078365489422,False
16,front_r,neutral,356.0,38.386396908395604,False
16,front_r,neutral,358.0,38.41592258501701,False
16,front_r,neutral,360.0,38.39036026691953,False
20,front_r,neutral,0.0,40.23179761387326,False
20,front_r,neutral,2.0,40.1889487662328,False
20,front_r,neutral,4.0,40.09363186159733,False
20,front_r,neutral,6.0,39.99347190228856,False
20,front_r,neutral,8.0,39.81582357504946,False
20,front_r,neutral,10.0,39.63006567177419,False
20,front_r,neutral,12.0,39.37705005474081,False
20,front_r,neutral,14.0,39.12120811462582,False
20,front_r,neutral,16.0,38.81134358715113,False
20,front_r,neutral,18.0,38.47480040643999,False
20,front_r,neutral,20.0,38.115870254861605,False
20,front_r,neutral,22.0,37.70312764084124,False
20,front_r,neutral,24.0,37.29218223415142,False
20,front_r,neutral,26.0,36.828636484370115,False
20,front_r,neutral,28.0,36.34553771916816,False
20,front_r,neutral,30.0,35.84269422048253,False
20,front_r,neutral,32.0,35.29050541028608,False
20,front_r,neutral,34.0,34.74184498242662,False
20,front_r,neutral,36.0,34.151817025483695,False
20,front_r,neutral,38.0,33.530911713969395,False
20,front_r,neutral,40.0,32.94801147730884,False
20,front_r,neutral,42.0,32.41338657852458,False
20,front_r,neutral,44.0,31.936172757075276,False
20,front_r,neutral,46.0,31.456436872826462,False
20,front_r,neutral,48.0,30.982779745637078,False
20,front_r,neutral,50.0,30.51479569203957,False
20,front_r,neutral,52.0,30.043854355556828,False
20,front_r,neutral,54.0,29.57107220650323,False
20,front_r,neutral,56.0,29.104262075423634,False
20,front_r,neutral,58.0,28.647670568766944,False
20,front_r,neutral,60.0,28.194111968452063,False
20,front_r,neutral,62.0,27.736409019506556,False
20,front_r,neutral,64.0,27.280261170144378,False
20,front_r,neutral,66.0,26.833425528365453,False
20,front_r,neutral,68.0,26.384754556391535,False
20,front_r,neutral,70.0,25.93260616932952,False
20,front_r,neutral,72.0,25.486281946293854,False
20,front_r,neutral,74.0,25.04968017324966,False
20,front_r,neutral,76.0,24.620925053464248,False
20,front_r,neutral,78.0,24.201857548316468,False
20,front_r,neutral,80.0,23.793645471775264,False
20,front_r,neutral,82.0,23.397377008110205,False
20,front_r,neutral,84.0,23.014060605774894,False
20,front_r,neutral,86.0,22.643658685833625,False
20,front_r,neutral,88.0,22.28472783989464,False
20,front_r,neutral,90.0,21.93346938510629,False
20,front_r,neutral,92.0,21.586717138780223,False
20,front_r,neutral,94.0,21.24530558999133,False
20,front_r,neutral,96.0,20.91038404598372,False
20,front_r,neutral,98.0,20.587012722802346,False
20,front_r,neutral,100.0,20.280215909462264,False
20,front_r,neutral,102.0,19.990666453159363,False
20,front_r,neutral,104.0,19.71853326317857,False
20,front_r,neutral,106.0,19.46393907319226,False
20,front_r,neutral,108.0,19.22697262838394,False
20,front_r,neutral,110.0,18.937304805185907,False
20,front_r,neutral,112.0,18.581103107468596,False
20,front_r,neutral,114.0,18.24197183286359,False
20,front_r,neutral,116.0,17.907537375893718,False
20,front_r,neutral,118.0,17.57716916142517,False
20,front_r,neutral,120.0,17.252326047387953,False
20,front_r,neutral,122.0,16.938155348731147,False
20,front_r,neutral,124.0,16.636930053196874,False
20,front_r,neutral,126.0,16.357291326841867,False
20,front_r,neutral,128.0,16.099857026633657,False
20,front_r,neutral,130.0,15.864513069480113,False
20,front_r,neutral,132.0,15.64816423053163,False
